"->DMS","01"
"ModBoxplot","bb5a"
"NormProbPlot","bb5b"
"G-T","bb64"
"ZoomFit","bb65"
"DiagnosticOn","bb66"
"DiagnosticOff","bb67"
"Archive","bb68"
"UnArchive","bb69"
"Asm(","bb6a"
"AsmComp(","bb6b"
"AsmPrgm","bb6c"
"Á","bb6e"
"À","bb6f"
"Â","bb70"
"Ä","bb71"
"á","bb72"
"à","bb73"
"â","bb74"
"ä","bb75"

"a","bbb0"
"b","bbb1"
"c","bbb2"
"d","bbb3"
"e","bbb4"
"f","bbb5"
"g","bbb6"
"h","bbb7"
"i","bbb8"
"j","bbb9"
"k","bbba"
"l","bbbc"
"m","bbbd"
"n","bbbe"
"o","bbbf"
"p","bbc0"
"q","bbc1"
"r","bbc2"
"s","bbc3"
"t","bbc4"
"u","bbc5"
"v","bbc6"
"w","bbc7"
"x","bbc8"
"y","bbc9"
"z","bbca"

"σ","bbcb"
"τ","bbcc"
"Í","bbcd"
"GarbageCollect","bbce"
"~","bbcf"
"@","bbd1"
"#","bbd2"
"$","bbd3"
"&","bbd4"
"`","bbd5"
";","bbd6"
"\\","bbd7"
"|","bbd8"
"_","bbd9"
"%","bbda"
"...","bbdb"

"setDate(","ef00"
"setTime(","ef01"
"checkTmr(","ef02"
"setDtFmt(","ef03"
"setTmFmt(","ef04"
"timeCnv(","ef05"
"datOfWk(","ef06"
"getDtStr","ef07"
"getTmStr(","ef08"
"getDate","ef09"
"getTime","ef0a"
"startTmr","ef0b"
"getDtFmt","ef0c"
"getTmFmt","ef0d"
"isClockOn","ef0e"
"ClockOff","ef0f"
"ClockOn","ef10"
"OpenLib(","ef11"
"ExecLib","ef12"
"invT(","ef13"
"X^2GOF-Test(","ef14"
"LinRegTInt","ef15"
"Manual-Fit","ef16"
"ZQuadrant1","ef17"
"ZFrac1/2","ef18"
"ZFrac1/3","ef19"
"ZFrac1/4","ef1a"
"ZFrac1/5","ef1b"
"ZFrac1/8","ef1c"
"ZFrac1/10","ef1d"
"mathprintbox","ef1e"
"->n/d<-->Un/d","ef30"
"->F<-->D","ef31"
"remainder(","ef32"
"summation(","ef33"
"logBASE(","ef34"
"randIntNoRep(","ef35"
"MATHPRINT","ef36"
"CLASS","ef37"
"n/d","ef38"
"Un/d","ef39"
"AUTO","ef3a"
"DEC","ef3b"
"FRAC","ef3c"
"FRAC-APPROX","ef3d"
"BLUE","ef41"
"RED","ef42"
"BLACK","ef43"
"MAGENTA","ef44"
"GREEN","ef45"
"ORANGE","ef46"
"BROWN","ef47"
"NAVY","ef48"
"LTBLUE","ef49"
"YELLOW","ef4a"
"WHITE","ef4b"
"LTGREY","ef4c"
"MEDGREY","ef4d"
"GREY","ef4e"
"DARKGREY","ef4f"
"Image1","ef50"
"Image2","ef51"
"Image3","ef52"
"Image4","ef53"
"Image5","ef54"
"Image6","ef55"
"Image7","ef56"
"Image8","ef57"
"Image9","ef58"
"Image0","ef59"
"Gridline","ef5a"
"BackgroundOn","ef5b"
"BackgroundOff","ef64"
"GraphColor(","ef65"
"TextColor(","ef67"
"Asm84CPrgm","ef68"
"DetectAsymOn","ef6a"
"DetectAsymOff","ef6b"
"BorderColor","ef6c"
"tinydotplot","ef73"
"Thin","ef74"
"Dot-Thin","ef75"
"PlySmth2","ef79"
"Asm84CEPrgm","ef7a"
"u(n-2)","ef82"
"v(n-2)","ef83"
"w(n-2)","ef84"
"u(n-1)","ef85"
"v(n-1)","ef86"
"w(n-1)","ef87"
"u(n)","ef88"
"v(n)","ef89"
"w(n)","ef8a"
"u(n+1)","ef8b"
"v(n+1)","ef8c"
"w(n+1)","ef8d"
"pieceWise(","ef8e"
"SEQ(n)","ef8f"
"SEQ(n+1)","ef90"
"SEQ(n+2)","ef91"
"LefT","ef92"
"CENTER","ef93"
"RIGHT","ef94"
"invBinom(","ef95"
"Wait","ef96"
"toString(","ef97"
"eval","ef98"
